M1566';M1010' ;M1050'; 'M347';;;M1566';M1010' ;M1050'; 'M347'
;;;;;;;;;
38.554;169.03;112.52;58.636;10k;;38.644;121.43;95.062;54.093
39.238;155.87;108.32;57.533;;;;;;
38.78;143.27;104.29;54.859;30k;;;;;
39.325;136.13;101.33;55.989;;;;;;
39.03;128.82;97.465;54.429;;;;;;
38.547;120.21;94.208;54.553;;;;;;
38.311;116.13;91.844;53.095;;;;;;
38.481;111.87;90.218;53.125;;;;;;
38.405;107.68;88.696;52.676;;;;;;
38.114;103.87;86.764;52.3;100k;;;;;
prom=;;;;;;;;;
38.6785;129.288;97.5655;54.7195;;;;;;
;;;;;;;;;
;;;;;;;;;
M1566';M1010' ;M1050'; 'M347';;;;;;
;;;;;;;;;
37.662;180.88;115.92;60.29;1k-10k;;;;;
39.066;129.87;100.65;56.945;10k-100k;;;;;
37.733;67.35;72.236;49.813;100k-1M;;;;;
prom=;;;;;;;;;
38.15366667;126.0333333;96.26866667;55.68266667;;;;;;
