Exported SMaRT Impedance Data
Experiment start time : 23/02/2016 11:57:32 a.m.

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:04,1000,1,0,-,-,-,15.07198,9.922915,14.84651,2.59725,
2,1,2,00:00:06,1258.925,1,0,-,-,-,15.20228,12.41273,14.84692,3.267765,
3,1,3,00:00:07,1584.893,1,0,-,-,-,15.41904,15.48368,14.85943,4.116325,
4,1,4,00:00:08,1995.262,1,0,-,-,-,15.73629,19.20098,14.86089,5.175394,
5,1,5,00:00:10,2511.886,1,0,-,-,-,16.22977,23.63979,14.86784,6.5079,
6,1,6,00:00:11,3162.278,1,0,-,-,-,16.99677,28.80661,14.89344,8.189975,
7,1,7,00:00:13,3981.072,1,0,-,-,-,18.12754,34.61792,14.91822,10.29828,
8,1,8,00:00:14,5011.872,1,0,-,-,-,19.78887,40.88951,14.95986,12.95384,
9,1,9,00:00:15,6309.574,1,0,-,-,-,22.12782,47.2975,15.0069,16.2614,
10,1,10,00:00:17,7943.282,1,0,-,-,-,25.39871,53.56311,15.08524,20.43356,
11,1,11,00:00:18,10000,1,0,-,-,-,29.82939,59.38374,15.19169,25.67109,
12,1,12,00:00:19,12589.25,1,0,-,-,-,35.78899,64.63999,15.3286,32.34016,
13,1,13,00:00:21,15848.93,1,0,-,-,-,43.4246,69.03157,15.53966,40.54892,
14,1,14,00:00:22,19952.62,1,0,-,-,-,53.33663,72.7467,15.81947,50.93663,
15,1,15,00:00:24,25118.86,1,0,-,-,-,65.87632,75.79656,16.1638,63.86251,
16,1,16,00:00:25,31622.78,1,0,-,-,-,81.91695,78.21117,16.73609,80.18909,
17,1,17,00:00:26,39810.72,1,0,-,-,-,101.9115,80.23575,17.28366,100.4352,
18,1,18,00:00:28,50118.73,1,0,-,-,-,127.5056,81.70351,18.39853,126.1712,
19,1,19,00:00:29,63095.73,1,0,-,-,-,159.8556,82.78676,20.07192,158.5905,
20,1,20,00:00:33,79432.82,1,0,-,-,-,199.7049,83.78817,21.60906,198.5324,
21,1,21,00:00:34,100000,1,0,-,-,-,249.7882,84.45887,24.11969,248.6209,
22,1,22,00:00:36,125892.5,1,0,-,-,-,312.8821,84.90716,27.7746,311.6469,
23,1,23,00:00:37,158489.3,1,0,-,-,-,392.0069,85.29482,32.15585,390.6858,
24,1,24,00:00:38,199526.2,1,0,-,-,-,491.1339,85.5472,38.13071,489.6515,
25,1,25,00:00:40,251188.6,1,0,-,-,-,615.3098,85.70871,46.0421,613.5848,
26,1,26,00:00:41,316227.8,1,0,-,-,-,770.1369,85.76441,56.88071,768.0335,
27,1,27,00:00:42,398107.2,1,0,-,-,-,967.889,85.69025,72.73567,965.1522,
28,1,28,00:00:44,501187.2,1,0,-,-,-,1218.057,85.5657,94.17556,1214.411,
29,1,29,00:00:45,630957.3,1,0,-,-,-,1537.835,85.22578,127.9936,1532.499,
