Exported SMaRT Impedance Data
Experiment start time : 23/02/2016 02:06:24 p.m.

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:05,1000,1,0,-,-,-,15.016,9.950667,14.79011,2.594767,
2,1,2,00:00:06,1258.925,1,0,-,-,-,15.15106,12.44963,14.79479,3.266282,
3,1,3,00:00:07,1584.893,1,0,-,-,-,15.3561,15.51739,14.79636,4.108228,
4,1,4,00:00:09,1995.262,1,0,-,-,-,15.68162,19.25151,14.80471,5.170474,
5,1,5,00:00:10,2511.886,1,0,-,-,-,16.18143,23.70062,14.81666,6.504249,
6,1,6,00:00:12,3162.278,1,0,-,-,-,16.93158,28.85736,14.82908,8.171698,
7,1,7,00:00:13,3981.072,1,0,-,-,-,18.05525,34.66122,14.85097,10.26843,
8,1,8,00:00:14,5011.872,1,0,-,-,-,19.74149,40.97754,14.90417,12.94573,
9,1,9,00:00:16,6309.574,1,0,-,-,-,22.05636,47.35978,14.94081,16.22513,
10,1,10,00:00:17,7943.282,1,0,-,-,-,25.34347,53.65833,15.01852,20.41409,
11,1,11,00:00:19,10000,1,0,-,-,-,29.82363,59.53148,15.12252,25.70522,
12,1,12,00:00:20,12589.25,1,0,-,-,-,35.68788,64.69639,15.25353,32.26382,
13,1,13,00:00:21,15848.93,1,0,-,-,-,43.35619,69.09763,15.46849,40.5029,
14,1,14,00:00:23,19952.62,1,0,-,-,-,53.26091,72.84016,15.71402,50.89002,
15,1,15,00:00:24,25118.86,1,0,-,-,-,65.78973,75.87815,16.05172,63.8015,
16,1,16,00:00:25,31622.78,1,0,-,-,-,81.85406,78.28602,16.61855,80.1493,
17,1,17,00:00:27,39810.72,1,0,-,-,-,102.0508,80.22211,17.33123,100.5683,
18,1,18,00:00:28,50118.73,1,0,-,-,-,127.9854,81.64066,18.6067,126.6256,
19,1,19,00:00:29,63095.73,1,0,-,-,-,159.6767,82.89913,19.73874,158.452,
20,1,20,00:00:33,79432.82,1,0,-,-,-,199.726,83.87074,21.32517,198.5843,
21,1,21,00:00:35,100000,1,0,-,-,-,249.8996,84.53786,23.78751,248.7649,
