Exported SMaRT Impedance Data
Experiment start time : 23/02/2016 02:51:07 p.m.

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:16,1000,1,0,-,-,-,14.93794,9.102512,14.74982,2.363202,
2,1,2,00:00:18,1258.925,1,0,-,-,-,15.04418,11.40365,14.74719,2.974531,
3,1,3,00:00:19,1584.893,1,0,-,-,-,15.21019,14.24745,14.74235,3.743381,
4,1,4,00:00:21,1995.262,1,0,-,-,-,15.47831,17.72791,14.7433,4.713098,
5,1,5,00:00:22,2511.886,1,0,-,-,-,15.89562,21.92509,14.74593,5.935327,
6,1,6,00:00:23,3162.278,1,0,-,-,-,16.51959,26.85946,14.73741,7.463606,
7,1,7,00:00:25,3981.072,1,0,-,-,-,17.49624,32.54243,14.74921,9.411646,
8,1,8,00:00:26,5011.872,1,0,-,-,-,18.88669,38.74052,14.73139,11.81918,
9,1,9,00:00:28,6309.574,1,0,-,-,-,20.96803,45.3185,14.74399,14.90882,
10,1,10,00:00:29,7943.282,1,0,-,-,-,23.84309,51.81266,14.74063,18.74051,
11,1,11,00:00:30,10000,1,0,-,-,-,27.85421,58.03259,14.74705,23.63009,
12,1,12,00:00:32,12589.25,1,0,-,-,-,33.14912,63.57393,14.75278,29.68534,
13,1,13,00:00:33,15848.93,1,0,-,-,-,40.20221,68.4761,14.74977,37.39869,
14,1,14,00:00:34,19952.62,1,0,-,-,-,49.34715,72.51939,14.82307,47.06823,
15,1,15,00:00:36,25118.86,1,0,-,-,-,61.18079,75.90923,14.89503,59.33993,
16,1,16,00:00:37,31622.78,1,0,-,-,-,76.08512,78.71796,14.88523,74.61485,
17,1,17,00:00:39,39810.72,1,0,-,-,-,95.252,80.90074,15.06369,94.05333,
18,1,18,00:00:40,50118.73,1,0,-,-,-,119.6192,82.61813,15.36893,118.6278,
19,1,19,00:00:41,63095.73,1,0,-,-,-,149.9504,84.08479,15.45343,149.152,
20,1,20,00:00:45,79432.82,1,0,-,-,-,188.1473,85.29081,15.44664,187.5122,
21,1,21,00:00:47,100000,1,0,-,-,-,236.6428,86.12067,16.0102,236.1006,
22,1,22,00:00:48,125892.5,1,0,-,-,-,298.1098,86.80485,16.61585,297.6464,
23,1,23,00:00:49,158489.3,1,0,-,-,-,374.9387,87.24707,18.00812,374.506,
24,1,24,00:00:51,199526.2,1,0,-,-,-,472.2317,87.61784,19.6283,471.8236,
25,1,25,00:00:52,251188.6,1,0,-,-,-,595.5585,87.88454,21.9843,595.1526,
26,1,26,00:00:53,316227.8,1,0,-,-,-,751.467,88.03313,25.79183,751.0242,
27,1,27,00:00:55,398107.2,1,0,-,-,-,951.1739,88.27518,28.62979,950.7429,
28,1,28,00:00:56,501187.2,1,0,-,-,-,1204.634,88.15402,38.805,1204.009,
29,1,29,00:00:57,630957.3,1,0,-,-,-,1530.368,87.85677,57.233,1529.298,
30,1,30,00:01:00,794328.3,1,0,-,-,-,1957.985,87.55129,83.65549,1956.197,
31,1,31,00:01:01,1000000,1,0,-,-,-,2524.285,86.82661,139.7399,2520.414,
32,2,1,00:01:06,1000,1,0,-,-,-,14.91616,9.102987,14.7283,2.359879,
33,2,2,00:01:08,1258.925,1,0,-,-,-,15.02684,11.4052,14.73011,2.971502,
34,2,3,00:01:09,1584.893,1,0,-,-,-,15.19305,14.24522,14.72588,3.73859,
35,2,4,00:01:11,1995.262,1,0,-,-,-,15.46336,17.72838,14.72901,4.708667,
36,2,5,00:01:12,2511.886,1,0,-,-,-,15.8767,21.92486,14.72841,5.928207,
37,2,6,00:01:14,3162.278,1,0,-,-,-,16.50169,26.86043,14.72132,7.455773,
38,2,7,00:01:15,3981.072,1,0,-,-,-,17.44966,32.50483,14.7161,9.376934,
39,2,8,00:01:16,5011.872,1,0,-,-,-,18.87102,38.73895,14.7195,11.80898,
40,2,9,00:01:18,6309.574,1,0,-,-,-,20.91704,45.25651,14.72422,14.85665,
41,2,10,00:01:19,7943.282,1,0,-,-,-,23.82851,51.80873,14.7329,18.72804,
42,2,11,00:01:20,10000,1,0,-,-,-,27.78299,57.96651,14.73652,23.5527,
43,2,12,00:01:22,12589.25,1,0,-,-,-,33.15659,63.60101,14.74207,29.69901,
44,2,13,00:01:23,15848.93,1,0,-,-,-,40.1954,68.46416,14.75507,37.38928,
45,2,14,00:01:25,19952.62,1,0,-,-,-,49.33041,72.51261,14.8236,47.0505,
46,2,15,00:01:26,25118.86,1,0,-,-,-,61.12473,75.90766,14.88299,59.28515,
47,2,16,00:01:27,31622.78,1,0,-,-,-,76.01976,78.72955,14.85735,74.55376,
48,2,17,00:01:29,39810.72,1,0,-,-,-,95.28629,80.88977,15.08712,94.0843,
49,2,18,00:01:30,50118.73,1,0,-,-,-,118.7177,82.89275,14.68863,117.8055,
50,2,19,00:01:31,63095.73,1,0,-,-,-,149.5485,84.19324,15.13041,148.7811,
51,2,20,00:01:35,79432.82,1,0,-,-,-,187.9034,85.28242,15.45402,187.2668,
52,2,21,00:01:37,100000,1,0,-,-,-,236.342,86.14502,15.88966,235.8073,
53,2,22,00:01:38,125892.5,1,0,-,-,-,297.8629,86.76823,16.79214,297.3893,
54,2,23,00:01:39,158489.3,1,0,-,-,-,374.877,87.26285,17.90202,374.4492,
55,2,24,00:01:41,199526.2,1,0,-,-,-,471.9985,87.63763,19.4556,471.5973,
56,2,25,00:01:42,251188.6,1,0,-,-,-,596.0134,87.8904,21.94014,595.6094,
57,2,26,00:01:43,316227.8,1,0,-,-,-,750.8392,88.06147,25.39907,750.4095,
58,2,27,00:01:45,398107.2,1,0,-,-,-,950.8718,88.23753,29.24536,950.4219,
59,2,28,00:01:46,501187.2,1,0,-,-,-,1203.876,88.10522,39.80548,1203.217,
