Exported SMaRT Impedance Data
Experiment start time : 23/02/2016 10:58:01 a.m.

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:05,1000,1,0,-,-,-,15.08756,9.898772,14.86296,2.593672,
2,1,2,00:00:06,1258.925,1,0,-,-,-,15.21763,12.38272,14.86362,3.263279,
3,1,3,00:00:08,1584.893,1,0,-,-,-,15.42616,15.4434,14.86918,4.107772,
4,1,4,00:00:09,1995.262,1,0,-,-,-,15.74602,19.15314,14.8744,5.166178,
5,1,5,00:00:10,2511.886,1,0,-,-,-,16.2486,23.59176,14.89055,6.502971,
6,1,6,00:00:12,3162.278,1,0,-,-,-,16.99215,28.7365,14.89939,8.16952,
7,1,7,00:00:13,3981.072,1,0,-,-,-,18.12773,34.54512,14.93145,10.27942,
8,1,8,00:00:15,5011.872,1,0,-,-,-,19.77999,40.81231,14.97058,12.92787,
9,1,9,00:00:16,6309.574,1,0,-,-,-,22.14688,47.26405,15.02934,16.26664,
10,1,10,00:00:17,7943.282,1,0,-,-,-,25.39402,53.5163,15.09914,20.41745,
11,1,11,00:00:19,10000,1,0,-,-,-,29.8201,59.34175,15.20576,25.65197,
12,1,12,00:00:20,12589.25,1,0,-,-,-,35.72898,64.56428,15.34554,32.26569,
13,1,13,00:00:21,15848.93,1,0,-,-,-,43.36288,68.9845,15.55083,40.47852,
14,1,14,00:00:23,19952.62,1,0,-,-,-,53.24546,72.64076,15.88642,50.82027,
15,1,15,00:00:24,25118.86,1,0,-,-,-,65.90995,75.67535,16.30718,63.86076,
16,1,16,00:00:26,31622.78,1,0,-,-,-,81.83685,78.17893,16.76479,80.10126,
17,1,17,00:00:27,39810.72,1,0,-,-,-,101.9272,80.14036,17.45354,100.4218,
18,1,18,00:00:28,50118.73,1,0,-,-,-,127.1147,81.73596,18.27088,125.7948,
19,1,19,00:00:30,63095.73,1,0,-,-,-,158.9815,82.92759,19.57442,157.7718,
20,1,20,00:00:34,79432.82,1,0,-,-,-,199.255,83.76559,21.63843,198.0766,
21,1,21,00:00:35,100000,1,0,-,-,-,249.7263,84.45901,24.11311,248.5595,
22,1,22,00:00:36,125892.5,1,0,-,-,-,312.6701,84.9407,27.5734,311.4519,
23,1,23,00:00:38,158489.3,1,0,-,-,-,391.2047,85.30643,32.01107,389.8929,
24,1,24,00:00:39,199526.2,1,0,-,-,-,490.4707,85.52375,38.27933,488.9746,
25,1,25,00:00:40,251188.6,1,0,-,-,-,612.8444,85.70547,45.89206,611.1237,
26,1,26,00:00:42,316227.8,1,0,-,-,-,769.0079,85.69852,57.67919,766.8418,
27,1,27,00:00:43,398107.2,1,0,-,-,-,967.5114,85.88116,69.4921,965.0125,
28,1,28,00:00:45,501187.2,1,0,-,-,-,1214.896,85.60892,93.01743,1211.329,
29,1,29,00:00:46,630957.3,1,0,-,-,-,1532.969,85.28114,126.1124,1527.772,
30,1,30,00:00:49,794328.3,1,0,-,-,-,1944.648,84.78745,176.6734,1936.606,
31,1,31,00:00:50,1000000,1,0,-,-,-,2489.877,84.2598,249.033,2477.392,
32,2,1,00:00:55,1000,1,0,-,-,-,15.05312,9.90783,14.82862,2.590095,
33,2,2,00:00:56,1258.925,1,0,-,-,-,15.18749,12.39433,14.83353,3.259824,
34,2,3,00:00:58,1584.893,1,0,-,-,-,15.38726,15.44687,14.83144,4.098314,
35,2,4,00:00:59,1995.262,1,0,-,-,-,15.71633,19.16754,14.84506,5.160167,
36,2,5,00:01:01,2511.886,1,0,-,-,-,16.21256,23.59864,14.85674,6.490327,
37,2,6,00:01:02,3162.278,1,0,-,-,-,16.96616,28.76184,14.873,8.163605,
38,2,7,00:01:03,3981.072,1,0,-,-,-,18.11694,34.57782,14.91669,10.28181,
39,2,8,00:01:05,5011.872,1,0,-,-,-,19.7665,40.83586,14.95506,12.9252,
40,2,9,00:01:06,6309.574,1,0,-,-,-,22.10928,47.27217,15.00151,16.24114,
41,2,10,00:01:08,7943.282,1,0,-,-,-,25.36318,53.53534,15.07402,20.39767,
42,2,11,00:01:09,10000,1,0,-,-,-,29.82238,59.39008,15.18528,25.66675,
43,2,12,00:01:10,12589.25,1,0,-,-,-,35.70026,64.57336,15.3281,32.24218,
44,2,13,00:01:12,15848.93,1,0,-,-,-,43.33793,69.00199,15.52953,40.45998,
45,2,14,00:01:13,19952.62,1,0,-,-,-,53.19006,72.72677,15.79367,50.79117,
46,2,15,00:01:14,25118.86,1,0,-,-,-,65.734,75.80195,16.12289,63.72607,
47,2,16,00:01:16,31622.78,1,0,-,-,-,81.77913,78.18082,16.75032,80.04532,
48,2,17,00:01:17,39810.72,1,0,-,-,-,102.1634,80.03513,17.67883,100.6222,
49,2,18,00:01:19,50118.73,1,0,-,-,-,127.5853,81.60937,18.61746,126.2197,
50,2,19,00:01:20,63095.73,1,0,-,-,-,159.1709,82.87157,19.7522,157.9406,
51,2,20,00:01:24,79432.82,1,0,-,-,-,199.093,83.77271,21.59627,197.9182,
52,2,21,00:01:25,100000,1,0,-,-,-,249.4027,84.43224,24.19787,248.2261,
53,2,22,00:01:27,125892.5,1,0,-,-,-,312.5352,84.93759,27.57844,311.3161,
54,2,23,00:01:28,158489.3,1,0,-,-,-,391.3,85.30041,32.05987,389.9844,
55,2,24,00:01:29,199526.2,1,0,-,-,-,490.0497,85.49632,38.48035,488.5365,
56,2,25,00:01:31,251188.6,1,0,-,-,-,613.9962,85.73244,45.69017,612.2938,
57,2,26,00:01:32,316227.8,1,0,-,-,-,768.5673,85.74017,57.08909,766.444,
58,2,27,00:01:33,398107.2,1,0,-,-,-,966.1326,85.79462,70.84852,963.5313,
59,2,28,00:01:35,501187.2,1,0,-,-,-,1215.454,85.62468,92.72672,1211.912,
60,2,29,00:01:36,630957.3,1,0,-,-,-,1533.365,85.34058,124.5598,1528.297,
61,2,30,00:01:39,794328.3,1,0,-,-,-,1945.819,84.90971,172.6446,1938.145,
62,2,31,00:01:40,1000000,1,0,-,-,-,2486.931,84.16103,253.0036,2474.028,
63,3,1,00:01:45,1000,1,0,-,-,-,15.03869,9.912192,14.8142,2.58874,
64,3,2,00:01:47,1258.925,1,0,-,-,-,15.17091,12.39906,14.81706,3.257486,
65,3,3,00:01:48,1584.893,1,0,-,-,-,15.38743,15.46361,14.83041,4.102695,
66,3,4,00:01:49,1995.262,1,0,-,-,-,15.70448,19.1809,14.83266,5.159734,
67,3,5,00:01:51,2511.886,1,0,-,-,-,16.2005,23.6163,14.84369,6.490079,
68,3,6,00:01:52,3162.278,1,0,-,-,-,16.95496,28.78368,14.86007,8.163878,
69,3,7,00:01:54,3981.072,1,0,-,-,-,18.07862,34.5668,14.88711,10.2572,
70,3,8,00:01:55,5011.872,1,0,-,-,-,19.75732,40.86555,14.94141,12.92694,
71,3,9,00:01:56,6309.574,1,0,-,-,-,22.10589,47.29161,14.9937,16.24374,
72,3,10,00:01:58,7943.282,1,0,-,-,-,25.35191,53.55017,15.06205,20.3925,
73,3,11,00:01:59,10000,1,0,-,-,-,29.74637,59.3466,15.166,25.58982,
74,3,12,00:02:00,12589.25,1,0,-,-,-,35.63234,64.54085,15.31719,32.17215,
75,3,13,00:02:02,15848.93,1,0,-,-,-,43.31181,69.01358,15.51199,40.43873,
76,3,14,00:02:03,19952.62,1,0,-,-,-,53.17084,72.68867,15.82172,50.7623,
77,3,15,00:02:05,25118.86,1,0,-,-,-,65.88,75.70197,16.27011,63.83931,
78,3,16,00:02:06,31622.78,1,0,-,-,-,81.75513,78.19255,16.72903,80.02525,
79,3,17,00:02:07,39810.72,1,0,-,-,-,101.7092,80.22917,17.26086,100.2338,
80,3,18,00:02:09,50118.73,1,0,-,-,-,127.3888,81.65691,18.48421,126.0407,
81,3,19,00:02:10,63095.73,1,0,-,-,-,159.0588,82.87656,19.72455,157.8311,
82,3,20,00:02:14,79432.82,1,0,-,-,-,199.3107,83.75142,21.69349,198.1266,
83,3,21,00:02:15,100000,1,0,-,-,-,249.4071,84.44801,24.12994,248.237,
84,3,22,00:02:17,125892.5,1,0,-,-,-,312.0595,84.9356,27.54727,310.8412,
85,3,23,00:02:18,158489.3,1,0,-,-,-,391.1897,85.29029,32.11969,389.8688,
86,3,24,00:02:19,199526.2,1,0,-,-,-,489.0942,85.53896,38.04249,487.6125,
87,3,25,00:02:21,251188.6,1,0,-,-,-,614.0895,85.66904,46.37471,612.336,
88,3,26,00:02:22,316227.8,1,0,-,-,-,767.8518,85.76669,56.68159,765.7569,
89,3,27,00:02:23,398107.2,1,0,-,-,-,966.4557,85.82533,70.35564,963.8914,
90,3,28,00:02:25,501187.2,1,0,-,-,-,1212.905,85.43853,96.4609,1209.063,
91,3,29,00:02:26,630957.3,1,0,-,-,-,1534.052,85.36588,123.9404,1529.037,
92,3,30,00:02:29,794328.3,1,0,-,-,-,1943.953,84.83296,175.0723,1936.054,
93,3,31,00:02:30,1000000,1,0,-,-,-,2492.191,84.48438,239.5429,2480.653,
94,4,1,00:02:35,1000,1,0,-,-,-,15.03055,9.921962,14.80574,2.589863,
95,4,2,00:02:37,1258.925,1,0,-,-,-,15.16498,12.41103,14.81059,3.259305,
96,4,3,00:02:38,1584.893,1,0,-,-,-,15.37021,15.47367,14.81308,4.100701,
97,4,4,00:02:40,1995.262,1,0,-,-,-,15.69641,19.19657,14.82363,5.161135,
98,4,5,00:02:41,2511.886,1,0,-,-,-,16.19785,23.63627,14.839,6.494186,
99,4,6,00:02:42,3162.278,1,0,-,-,-,16.94778,28.79123,14.8527,8.162382,
100,4,7,00:02:44,3981.072,1,0,-,-,-,18.09619,34.61684,14.89261,10.28018,
101,4,8,00:02:45,5011.872,1,0,-,-,-,19.74753,40.88062,14.93061,12.92446,
102,4,9,00:02:47,6309.574,1,0,-,-,-,22.10312,47.32343,14.9828,16.25003,
103,4,10,00:02:48,7943.282,1,0,-,-,-,25.35138,53.57801,15.05182,20.39939,
104,4,11,00:02:49,10000,1,0,-,-,-,29.80552,59.42728,15.16003,25.66208,
105,4,12,00:02:51,12589.25,1,0,-,-,-,35.61587,64.54524,15.30765,32.15845,
106,4,13,00:02:52,15848.93,1,0,-,-,-,43.30529,69.01402,15.50935,40.43276,
107,4,14,00:02:53,19952.62,1,0,-,-,-,53.19405,72.78772,15.74081,50.81174,
108,4,15,00:02:55,25118.86,1,0,-,-,-,65.84856,75.75163,16.20705,63.82291,
109,4,16,00:02:56,31622.78,1,0,-,-,-,81.81697,78.17678,16.76372,80.08118,
110,4,17,00:02:57,39810.72,1,0,-,-,-,102.1146,80.09299,17.56881,100.5919,
111,4,18,00:02:59,50118.73,1,0,-,-,-,127.6946,81.54446,18.77651,126.3066,
112,4,19,00:03:00,63095.73,1,0,-,-,-,158.8759,82.94535,19.51254,157.6731,
113,4,20,00:03:04,79432.82,1,0,-,-,-,199.109,83.79709,21.51377,197.9433,
114,4,21,00:03:05,100000,1,0,-,-,-,249.267,84.41285,24.26864,248.0828,
115,4,22,00:03:07,125892.5,1,0,-,-,-,312.1054,84.93563,27.55116,310.887,
