Exported SMaRT Impedance Data
Experiment start time : 17/11/2015 11:11:26 a.m.

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:46,1000,1,0,-,-,-,15.15259,9.815759,14.93078,2.583222
2,1,2,00:00:48,1258.925,1,0,-,-,-,15.27989,12.27942,14.93032,3.249717
3,1,3,00:00:49,1584.893,1,0,-,-,-,15.48391,15.31334,14.93417,4.089261
4,1,4,00:00:51,1995.262,1,0,-,-,-,15.8061,19.00486,14.94452,5.147228
5,1,5,00:00:52,2511.886,1,0,-,-,-,16.29793,23.4022,14.95725,6.473263
6,1,6,00:00:54,3162.278,1,0,-,-,-,17.04366,28.5221,14.97513,8.138309
7,1,7,00:00:55,3981.072,1,0,-,-,-,18.15886,34.28144,15.00432,10.22813
8,1,8,00:00:56,5011.872,1,0,-,-,-,19.82478,40.53193,15.0677,12.88356
9,1,9,00:00:58,6309.574,1,0,-,-,-,22.12177,46.87888,15.12118,16.14691
10,1,10,00:00:59,7943.282,1,0,-,-,-,25.38372,53.14449,15.22514,20.3108
11,1,11,00:01:00,10000,1,0,-,-,-,29.78497,58.97298,15.35244,25.52347
12,1,12,00:01:02,12589.25,1,0,-,-,-,35.62079,64.16602,15.52231,32.06086
13,1,13,00:01:03,15848.93,1,0,-,-,-,43.20715,68.60204,15.76386,40.22882
14,1,14,00:01:05,19952.62,1,0,-,-,-,52.97616,72.34657,16.0655,50.48141
15,1,15,00:01:06,25118.86,1,0,-,-,-,65.49271,75.30293,16.61608,63.34983
16,1,16,00:01:07,31622.78,1,0,-,-,-,81.19118,77.84148,17.10027,79.36995
17,1,17,00:01:09,39810.72,1,0,-,-,-,101.07,79.81932,17.86444,99.47868
18,1,18,00:01:10,50118.73,1,0,-,-,-,126.2135,81.36156,18.95713,124.7817
19,1,19,00:01:11,63095.73,1,0,-,-,-,157.7773,82.52292,20.53154,156.4357
20,1,20,00:01:15,79432.82,1,0,-,-,-,197.2531,83.47071,22.42993,195.9737
21,1,21,00:01:17,100000,1,0,-,-,-,246.8219,84.16777,25.08112,245.5442
22,1,22,00:01:18,125892.5,1,0,-,-,-,308.3742,84.65179,28.74313,307.0317
23,1,23,00:01:19,158489.3,1,0,-,-,-,385.7391,85.04283,33.3322,384.2963
24,1,24,00:01:21,199526.2,1,0,-,-,-,483.2538,85.30071,39.59122,481.6293
25,1,25,00:01:22,251188.6,1,0,-,-,-,605.3279,85.47343,47.77345,603.4398
26,1,26,00:01:23,316227.8,1,0,-,-,-,756.8129,85.58757,58.22593,754.5697
27,1,27,00:01:25,398107.2,1,0,-,-,-,949.7554,85.54247,73.81542,946.8826
28,1,28,00:01:26,501187.2,1,0,-,-,-,1193.547,85.33101,97.15407,1189.586
29,1,29,00:01:27,630957.3,1,0,-,-,-,1505.643,85.08954,128.8817,1500.116
30,1,30,00:01:30,794328.3,1,0,-,-,-,1908.687,84.68366,176.8492,1900.476
31,1,31,00:01:31,1000000,1,0,-,-,-,2441.463,84.23419,245.2763,2429.111
32,2,1,00:01:36,1000,1,0,-,-,-,15.12214,9.817494,14.90069,2.578481
33,2,2,00:01:38,1258.925,1,0,-,-,-,15.25847,12.28574,14.90903,3.246808
34,2,3,00:01:39,1584.893,1,0,-,-,-,15.46047,15.31959,14.91112,4.0847
35,2,4,00:01:41,1995.262,1,0,-,-,-,15.78502,19.01311,14.92385,5.142513
36,2,5,00:01:42,2511.886,1,0,-,-,-,16.2753,23.40929,14.93568,6.466121
37,2,6,00:01:44,3162.278,1,0,-,-,-,17.02545,28.5306,14.95792,8.131829
