Exported SMaRT Impedance Data,,,,,,,,,,,,,
Experiment start time : 17/11/2015 12:03:02 p.m.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Result Number,Sweep Number,Point Number,Time,Frequency (Hz),,,,,,AC Level (V),DC Level (V),Set Point ('C),Temperature ('C)
1,1,1,0:00:59,1000,,,,,,15.08962,9.400007,14.887,2.464527
2,1,2,0:01:00,1258.925,,,,,,15.21267,11.76864,14.89289,3.102778
3,1,3,0:01:02,1584.893,,,,,,15.40127,14.69011,14.89783,3.905623
4,1,4,0:01:03,1995.262,,,,,,15.69293,18.24728,14.9038,4.913749
5,1,5,0:01:05,2511.886,,,,,,16.14645,22.51752,14.91548,6.183536
6,1,6,0:01:06,3162.278,,,,,,16.84365,27.51843,14.938,7.782335
7,1,7,0:01:07,3981.072,,,,,,17.88593,33.18454,14.96895,9.789636
8,1,8,0:01:09,5011.872,,,,,,19.40463,39.32657,15.01038,12.29748
9,1,9,0:01:10,6309.574,,,,,,21.60386,45.69865,15.08883,15.46136
10,1,10,0:01:12,7943.282,,,,,,24.68225,51.97718,15.20366,19.44382
11,1,11,0:01:13,10000,,,,,,28.85435,57.82548,15.36494,24.42318
12,1,12,0:01:14,12589.25,,,,,,34.33114,63.0021,15.5849,30.58984
13,1,13,0:01:16,15848.93,,,,,,41.58035,67.56147,15.8709,38.43228
14,1,14,0:01:17,19952.62,,,,,,50.87834,71.3821,16.24319,48.21581
15,1,15,0:01:19,25118.86,,,,,,62.59515,74.48888,16.73955,60.31533
16,1,16,0:01:20,31622.78,,,,,,77.53926,77.00194,17.44001,75.55252
17,1,17,0:01:21,39810.72,,,,,,96.58629,78.97783,18.46625,94.80458
18,1,18,0:01:23,50118.73,,,,,,119.7462,80.79043,19.16496,118.2026
19,1,19,0:01:24,63095.73,,,,,,149.6345,82.02138,20.76986,148.186
20,1,20,0:01:28,79432.82,,,,,,186.6745,83.03764,22.62822,185.298
21,1,21,0:01:29,100000,,,,,,233.2882,83.88891,24.83514,231.9625
22,1,22,0:01:31,125892.5,,,,,,292.1563,84.48381,28.08422,290.8033
23,1,23,0:01:32,158489.3,,,,,,365.2052,84.98103,31.95026,363.8049
24,1,24,0:01:33,199526.2,,,,,,456.4835,85.37416,36.81486,454.9965
25,1,25,0:01:35,251188.6,,,,,,572.2549,85.6822,43.0844,570.6307
26,1,26,0:01:36,316227.8,,,,,,718.5063,85.86808,51.77086,716.6387
27,1,27,0:01:37,398107.2,,,,,,903.5174,86.11765,61.17564,901.444
28,1,28,0:01:39,501187.2,,,,,,1137.02,85.94956,80.31335,1134.18
29,1,29,0:01:40,630957.3,,,,,,1439.482,85.85993,103.9237,1435.726
30,1,30,0:01:43,794328.3,,,,,,1832.178,85.55707,141.9321,1826.672
31,1,31,0:01:44,1000000,,,,,,2355.194,85.12437,200.1763,2346.671
32,2,1,0:01:49,1000,,,,,,15.0866,9.40109,14.88397,2.464316
33,2,2,0:01:51,1258.925,,,,,,15.20792,11.76772,14.88828,3.10157
34,2,3,0:01:52,1584.893,,,,,,15.39406,14.68753,14.89103,3.903122
35,2,4,0:01:54,1995.262,,,,,,15.69172,18.25121,14.90231,4.914391
36,2,5,0:01:55,2511.886,,,,,,16.14686,22.52305,14.91527,6.185135
37,2,6,0:01:57,3162.278,,,,,,16.84442,27.52545,14.93773,7.78452
38,2,7,0:01:58,3981.072,,,,,,17.87021,33.1733,14.95771,9.778099
39,2,8,0:01:59,5011.872,,,,,,19.407,39.32862,15.01178,12.29952
40,2,9,0:02:01,6309.574,,,,,,21.59341,45.69717,15.08193,15.4535
41,2,10,0:02:02,7943.282,,,,,,24.67729,51.96703,15.20405,19.43722
