nombre,espesor,conductividad,tt,permeabilidad
347-M01,2.295833333,1051184.21,200.0,
347-M02,2.34,1118491.27,300.0,
347-M03,2.2709,1142610.84,400.0,
347-M04,2.34,1216575.14,500.0,
347-M05,2.329166667,1308978.66,600.0,
347-M06,2.215,1371864.4,700.0,
347-M07,2.31,1387902.82,,
347-M08,2.3025,1415286.59,800.0,
347-M09,2.225833333,1377247.16,,
347-M11,2.243,1432375.75,,
316-M01,2.3022,1201980.0,200.0,
316-M02,2.323,1228240.0,300.0,
316-M03,2.36,1263840.0,400.0,
316-M04,2.3428,1276660.0,500.0,
316-M05,2.286,1279890.0,600.0,
316-M06,2.333,1328030.0,700.0,
316-M07,2.3136,1356150.0,800.0,
316-M08,2.2812,1340660.0,860.0,
316-M09,2.3268,1307190.0,900.0,
304-M02,2.289,1030000.0,,
304-M03,2.3,1040000.0,,
304-M04,2.312,1060000.0,,
304-M05,2.317,1140000.0,,
304-M06,2.28,1240000.0,,
304-M07,2.288,1260000.0,,
304-M09,2.268,1310000.0,,
304-M11,2.317,1400000.0,,
P066,14.957,610200.0,,1.0
P068,14.957,8632000.0,,1.0
P057,14.957,3948000.0,,1.0
P125,14.957,58910000.0,,1.0
P064,14.957,34430000.0,,1.0
P071,14.957,17470000.0,,1.0
1010-M00,6.5,3830000.0,,
1010-M01,6.5,3830000.0,,
NFNE,1.2,8207502.763947675,,
