nombre,espesor,conductividad,tt
347-M01,2.295833333,1051184.21,200
347-M02,2.34,1118491.27,300
347-M03,2.2709,1142610.84,400
347-M04,2.34,1216575.14,500
347-M05,2.329166667,1308978.66,600
347-M06,2.215,1371864.4,700
347-M07,2.31,1387902.82,
347-M08,2.3025,1415286.59,800
347-M09,2.225833333,1377247.16,
347-M11,2.243,1432375.75,
316-M01,2.3022,1201980,200
316-M02,2.323,1228240,300
316-M03,2.36,1263840,400
316-M04,2.3428,1276660,500
316-M05,2.286,1279890,600
316-M06,2.333,1328030,700
316-M07,2.3136,1356150,800
316-M08,2.2812,1340660,860
316-M09,2.3268,1307190,900
304-M02,2.289,1030000,
304-M03,2.3,1040000,
304-M04,2.312,1060000,
304-M05,2.317,1140000,
304-M06,2.28,1240000,
304-M07,2.288,1260000,
304-M09,2.268,1310000,
304-M11,2.317,1400000,
P066,14.957,610200,
P068,14.957,8632000,
P057,14.957,3948000,
P125,14.957,58910000,
P064,14.957,34430000,
P071,14.957,17470000,
1010-M00,6.5,3830000,
1010-M01,6.5,3830000,
NFNE,1.20,1,
